Class,730nm,760nm,810nm,860nm,900nm,940nm,Brix (%),Sample No.
Not Sweet,-0.33294922042451913,-0.4225830610069625,-0.20463435083280276,2.024697419089205,-0.49262631004784996,-0.5706208251643341,6.0,90
Sweet,-0.3378635148043274,-0.42253450645713897,-0.21589183387273003,2.0272158805533635,-0.47960645549728964,-0.5605253352660077,10.0,91
Not Sweet,-0.33054048053833196,-0.42190654366659625,-0.19395321205458244,2.0227964276037635,-0.501927621727557,-0.5804149766980718,7.0,92
Not Sweet,-0.32968277766602216,-0.42449963337025964,-0.2018197548798162,2.024112373260534,-0.49214487184170563,-0.5736325230987508,7.4,93
Sweet,-0.3369479490147004,-0.42260415861826645,-0.22281871185350038,2.027094365228086,-0.48115871421978207,-0.5632127531687221,8.2,94
Not Sweet,-0.33675954077563286,-0.42427182970830524,-0.20863092158218216,2.0252412361808556,-0.49109088966563696,-0.569237396388885,7.4,95
Sweet,-0.3410091811118364,-0.4238427574434982,-0.20697646541645195,2.0255498537007504,-0.48374105531515804,-0.5663406452097687,8.0,96
Not Sweet,-0.33579218683647183,-0.42515597000961924,-0.20768452501321807,2.024641046048797,-0.48985900372322244,-0.572010094121739,7.0,97
Not Sweet,-0.33133957141920434,-0.4221097472018883,-0.19743900066556935,2.0233603680332806,-0.4982170982912086,-0.5749931102351987,6.0,98
Not Sweet,-0.3413766400554309,-0.4239126821772923,-0.20654601037444464,2.0251320886187996,-0.4821920312903051,-0.5695610582688684,6.4,99
Sweet,-0.3349195590826351,-0.42121925253856085,-0.19955294280123662,2.024310450992371,-0.504683774529633,-0.5659157283781762,10.0,100
Not Sweet,-0.33157290823829305,-0.4214464874531813,-0.1945368155114448,2.023212458833463,-0.5040411114120187,-0.5713262099880769,7.6,101
Not Sweet,-0.3302876807521,-0.4218489951368259,-0.1961826619226082,2.023530696552247,-0.501294526252352,-0.5718332257681136,7.4,102
Not Sweet,-0.3326229767040574,-0.42446807335500825,-0.20456537430781535,2.0248095834201276,-0.4950280050574933,-0.5676648333524147,7.2,103
Not Sweet,-0.3269985880409896,-0.4223168503305761,-0.19755754901953765,2.0229296157123366,-0.5019317110073491,-0.5766987614433431,6.2,104
Sweet,-0.33024374157949105,-0.4245977307125147,-0.1937082417182993,2.0231024800227146,-0.4992393686945126,-0.5746574743670497,8.2,105
Not Sweet,-0.3326866089523873,-0.4242943706998145,-0.1919010689408586,2.0233701721179758,-0.4973993288104076,-0.5748387202031561,7.2,106
Not Sweet,-0.3319127006556567,-0.4235205563583595,-0.19822619858611612,2.0239111247722974,-0.49212112340545444,-0.5738195817645398,7.4,107
Sweet,-0.33044897889103275,-0.4222168635770327,-0.1963237521933939,2.023289185402673,-0.4965459937978219,-0.5764371563249825,8.6,108
Sweet,-0.3282128655434816,-0.4240966726825628,-0.19254019127113417,2.0225830381712435,-0.49817177975956756,-0.5806744297597808,8.0,109
Sweet,-0.32755503769419125,-0.423135897602844,-0.19518253418945555,2.0230539667982033,-0.4969730473886923,-0.5801738632037357,8.6,110
Sweet,-0.3293062148795509,-0.4245841374971619,-0.19394984762932074,2.023013122115983,-0.49557794298054514,-0.5800650442862407,9.0,111
Sweet,-0.3306608918963187,-0.4245431974490628,-0.1929868564859283,2.022814614713816,-0.49533616909321526,-0.5786734267102371,9.4,112
Not Sweet,-0.3260581773899849,-0.42363238670980563,-0.19092145001500976,2.022836283671319,-0.4958260130344616,-0.5818975422340137,7.6,113
Not Sweet,-0.32609446933739833,-0.4262933148979037,-0.19890496859938722,2.0231560744616175,-0.49358042947291236,-0.5801031661330323,7.4,114
Not Sweet,-0.3293102086076045,-0.4226121963036489,-0.19335552978811282,2.0226712646640017,-0.4986586811208231,-0.5797942151079479,7.8,115
Sweet,-0.32899684425586706,-0.42351476155115414,-0.19303633183839522,2.0231692025056316,-0.4973201449619416,-0.5771930462854777,8.2,116
Not Sweet,-0.330160543225011,-0.42389891811889613,-0.1930842059056841,2.022734765810772,-0.4957492950109575,-0.5793926851109941,7.2,117
Sweet,-0.32877201881609686,-0.42347074378876703,-0.19782890784957421,2.023413463790316,-0.49626921754341546,-0.5770688827566703,8.2,118
Not Sweet,-0.3292848901958594,-0.4240051066959241,-0.19233163205151455,2.02306646286949,-0.4962288604381487,-0.5788748505718455,7.6,119
Sweet,-0.33062947759521366,-0.4243404091009392,-0.19243034394371236,2.0222645253728273,-0.49890575376511215,-0.5804021405726293,9.0,120
Sweet,-0.32966240877437214,-0.4232144489472828,-0.19531438050413147,2.0230971149237993,-0.4955791641991272,-0.5778168005202337,8.6,121
Sweet,-0.3278158959126196,-0.42476568241673485,-0.19776474850667514,2.0225812871106217,-0.4923395201930636,-0.5859215623168361,8.6,122
Sweet,-0.32717309312933085,-0.4222281250233161,-0.19361353968869743,2.023182332883744,-0.4929867108963494,-0.5822333746760234,8.2,123
Sweet,-0.33096291907529185,-0.4236533798200521,-0.19551081632660045,2.0234907180749233,-0.4910795674656345,-0.5811516614031762,9.0,124
Sweet,-0.3267541686137148,-0.42387774242136445,-0.19392068766784695,2.022735578866604,-0.4916805851147976,-0.5849981465193647,8.0,125
Sweet,-0.3244300766869077,-0.4219993935062658,-0.1968566623692369,2.0227443165968886,-0.49423029414473296,-0.5841401225602034,8.2,126
Sweet,-0.3268259940832067,-0.42562856137478877,-0.20130788432928337,2.0232732033494107,-0.49171570996967906,-0.5823098839355134,9.2,127
Sweet,-0.3285161704084334,-0.4228507612535066,-0.19511701517944793,2.0227730301125524,-0.4925294645347866,-0.5834345938977193,9.0,128
Sweet,-0.32601873541261706,-0.42380019547199077,-0.19662667944595813,2.022598227994517,-0.49279422341839646,-0.5842041612459867,9.8,129
